Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
2016/11/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VILLA NYDIA E-1,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/9,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA NOHORA E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/28,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA NHORA II E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/30,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA NELLY E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA NELLY E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/30,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA NELLY E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/15,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA NATALY - 20 DE JULIO E-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/31,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,VILLA MAYOR E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA MARIA I E-11,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,36,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/11,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA HERMOSA E-5,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/1,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA HERMOSA E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/15,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA HERMOSA E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VILLA HERMOSA E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/5,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA HERMOSA E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA HELENA E-9,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA HELENA E-9,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/11,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA HELENA E-9,URBANA,RIOS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VILLA GLORIA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/22,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA GLORIA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA GLORIA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA GLORIA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA GLORIA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,28,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VILLA ELISA E-11,URBANA,BARES,,,,,,,,,,,,
2016/2/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA ELISA E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/29,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA ELISA E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/7,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,VILLA DIANA E-4,RURAL,BOSQUES,CONTUNDENTES,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VILLA DIANA E-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VILLA DEL RINCON E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA DEL RINCON E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/24,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA DEL RINCON E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,36,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/19,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA DEL RINCON E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,48,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/20,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA DEL RINCON E-11,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/19,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA DEL RINCON E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VILLA DEL PRADO E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA DEL PRADO E-11,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,49,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,11001000,1
2016/6/24,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA DEL MAR E-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,41,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA DEL CERRO E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/11,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA DE LOS ALPES E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA DE LOS ALPES E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/4/2,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA DE LA LOMA E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,11001000,1
2016/6/24,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA DE LA LOMA E-8,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/7/23,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLA CLAVER E-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/11,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA CLAUDIA E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA CLAUDIA E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA CAROLINA E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/20,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,VILLA ANITA SUR E-5,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VILLA AMALIA E-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/9,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA ALSACIA E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA ALSACIA E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLA ALEMANIA E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/24,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,VILLA ALEMANA II SECTOR E-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VEREDA LA REQUILINA E-5,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,CASADO,COLOMBIA,EMPLEADO EJERCITO,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/28,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VEREDA EL HATO E-5,RURAL,BOSQUES,ARMA DE FUEGO,A PIE,CONDUCTOR TAXI,30,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VERBENAL E-1,URBANA,BARES,,,,,,,,,,,,
2016/11/13,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VERBENAL E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADO,PRIMARIA,11001000,1
2016/12/14,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VERAGUAS CENTRAL IV SECTOR E-16,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,55,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VENECIA E-6,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
